DATE,WEB_NAME,NETWORK,DEVICE_TYPE,OPERATING_SYSTEM,GENDER,AGE_GROUP,KRAJ,IMPRESSIONS,CLICKS,CONVERSIONS,CONVERSION_VALUE,MONEY
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Hlavní město Praha,87,0,0,0.0,0.93
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Středočeský kraj,16,0,0,0.0,0.17
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Jihočeský kraj,57,0,0,0.0,0.61
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Plzeňský kraj,52,0,0,0.0,0.55
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Karlovarský kraj,14,0,0,0.0,0.15
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Ústecký kraj,62,0,0,0.0,0.66
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Liberecký kraj,63,1,0,0.0,0.67
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Královéhradecký kraj,67,0,0,0.0,0.71
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Pardubický kraj,6,0,0,0.0,0.06
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Kraj Vysočina,9,0,0,0.0,0.1
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Jihomoravský kraj,30,0,0,0.0,0.32
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Olomoucký kraj,55,0,0,0.0,0.59
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Zlínský kraj,114,0,0,0.0,1.21
2026-07-26,Aktualitky.cz,context,Desktop,ChromeOS,Žena,40 - 59,Moravskoslezský kraj,23,0,0,0.0,0.25
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Hlavní město Praha,340,0,0,0.0,0.46
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Středočeský kraj,96,0,0,0.0,0.13
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Jihočeský kraj,1594,0,0,0.0,2.17
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Plzeňský kraj,178,0,0,0.0,0.24
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Karlovarský kraj,85,0,0,0.0,0.12
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Ústecký kraj,496,0,0,0.0,0.68
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Liberecký kraj,110,0,0,0.0,0.15
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Královéhradecký kraj,60,0,0,0.0,0.08
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Pardubický kraj,715,0,0,0.0,0.97
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Kraj Vysočina,785,0,0,0.0,1.07
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Jihomoravský kraj,466,0,0,0.0,0.64
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Olomoucký kraj,51,0,0,0.0,0.07
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Zlínský kraj,519,0,0,0.0,0.71
2026-07-26,Baráky.cz,context,Desktop,,Žena,Neznámý,Moravskoslezský kraj,325,1,0,0.0,0.44
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Hlavní město Praha,175,0,0,0.0,1.61
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Středočeský kraj,1157,1,0,0.0,10.65
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Jihočeský kraj,237,1,0,0.0,2.18
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Plzeňský kraj,6267,16,1,0.72,57.71
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Karlovarský kraj,173,1,0,0.0,1.59
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Ústecký kraj,1951,5,2,1.45,17.97
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Liberecký kraj,1763,3,1,0.72,16.24
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Královéhradecký kraj,1222,2,0,0.0,11.25
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Pardubický kraj,7359,15,0,0.0,67.77
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Kraj Vysočina,1754,6,0,0.0,16.15
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Jihomoravský kraj,2833,3,0,0.0,26.09
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Olomoucký kraj,182,0,0,0.0,1.68
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Zlínský kraj,491,0,0,0.0,4.52
2026-07-26,Blogeria.cz,context,Tablet,Android,Muž,40 - 59,Moravskoslezský kraj,179,0,0,0.0,1.65
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Hlavní město Praha,13,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Středočeský kraj,1,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Jihočeský kraj,2,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Plzeňský kraj,2,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Karlovarský kraj,2,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Ústecký kraj,3,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Liberecký kraj,1,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Královéhradecký kraj,6,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Pardubický kraj,1,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Kraj Vysočina,1,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Jihomoravský kraj,3,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Olomoucký kraj,1,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Zlínský kraj,5,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Mobile,,Muž,40 - 59,Moravskoslezský kraj,1,0,0,0.0,0.0
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Hlavní město Praha,325,1,0,0.0,5.83
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Středočeský kraj,535,4,0,0.0,9.59
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Jihočeský kraj,140,1,0,0.0,2.51
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Plzeňský kraj,24,0,0,0.0,0.43
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Karlovarský kraj,1350,3,0,0.0,24.21
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Ústecký kraj,99,1,0,0.0,1.78
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Liberecký kraj,4,0,0,0.0,0.07
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Královéhradecký kraj,780,5,0,0.0,13.99
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Pardubický kraj,404,0,0,0.0,7.24
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Kraj Vysočina,1220,7,0,0.0,21.88
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Jihomoravský kraj,98,1,0,0.0,1.76
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Olomoucký kraj,168,1,0,0.0,3.01
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Zlínský kraj,303,1,0,0.0,5.43
2026-07-26,Drbárna.cz,context,Desktop,ChromeOS,Žena,60+,Moravskoslezský kraj,403,3,0,0.0,7.23
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Hlavní město Praha,1702,2,0,0.0,39.93
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Středočeský kraj,1072,0,0,0.0,25.15
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Jihočeský kraj,49,0,0,0.0,1.15
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Plzeňský kraj,3733,5,0,0.0,87.59
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Karlovarský kraj,1944,4,0,0.0,45.61
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Ústecký kraj,294,1,0,0.0,6.9
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Liberecký kraj,1467,2,0,0.0,34.42
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Královéhradecký kraj,51,0,0,0.0,1.2
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Pardubický kraj,534,0,0,0.0,12.53
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Kraj Vysočina,3159,7,0,0.0,74.12
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Jihomoravský kraj,5824,9,1,0.0,136.65
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Olomoucký kraj,2050,5,0,0.0,48.1
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Zlínský kraj,868,1,0,0.0,20.37
2026-07-26,Drbárna.cz,context,Desktop,,Žena,40 - 59,Moravskoslezský kraj,808,2,0,0.0,18.96
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Hlavní město Praha,19,0,0,0.0,0.18
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Středočeský kraj,7,0,0,0.0,0.07
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Jihočeský kraj,8,0,0,0.0,0.07
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Plzeňský kraj,2,0,0,0.0,0.02
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Karlovarský kraj,1,0,0,0.0,0.01
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Ústecký kraj,1,0,0,0.0,0.01
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Liberecký kraj,3,0,0,0.0,0.03
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Královéhradecký kraj,8,0,0,0.0,0.07
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Pardubický kraj,11,0,0,0.0,0.1
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Kraj Vysočina,12,1,0,0.0,0.11
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Jihomoravský kraj,9,0,0,0.0,0.08
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Olomoucký kraj,24,0,0,0.0,0.22
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Zlínský kraj,2,0,0,0.0,0.02
2026-07-26,Kliknito.cz,context,SmartPhone,,Žena,18 - 24,Moravskoslezský kraj,2,0,0,0.0,0.02
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Hlavní město Praha,7,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Středočeský kraj,1,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Jihočeský kraj,1,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Plzeňský kraj,2,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Karlovarský kraj,11,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Ústecký kraj,1,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Liberecký kraj,1,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Královéhradecký kraj,3,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Pardubický kraj,1,0,0,0.0,0.0
2026-07-26,Kliknito.cz,context,MediaHub,Android,Žena,40 - 59,Kraj Vysočina,1,0,0,0.0,0.0
